Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
6,1,306,6,1,0,2,0,0,24,17,2009,33840
6,1,306,6,0,0,2,0,1,24,17,2009,38630
6,1,306,6,1,0,2,0,1,23,17,2009,39630
6,1,306,6,1,0,2,0,0,24,17,2009,37740
6,1,306,6,1,0,2,0,1,23,17,2009,41980
6,1,306,6,0,0,2,0,1,24,17,2009,36280
6,1,306,6,0,0,2,0,0,25,18,2009,36740
6,1,306,6,0,0,2,0,1,24,17,2009,40980
6,1,306,6,0,0,2,0,0,25,18,2009,38680
6,1,306,6,0,0,2,0,0,25,18,2009,28510
6,1,306,6,0,0,2,0,0,25,18,2009,30210
6,1,306,6,1,0,2,0,0,24,17,2009,31210
6,1,306,6,0,0,2,0,0,25,18,2009,33340
6,1,306,6,1,0,2,0,1,23,17,2009,37280
6,1,306,6,0,0,2,0,1,24,17,2009,41570
6,1,306,6,0,0,2,0,1,24,17,2009,36870
6,1,306,6,1,0,2,0,1,23,17,2009,42570
6,1,306,6,1,0,2,0,1,23,17,2009,37870
6,1,306,6,0,0,2,0,1,24,17,2009,39220
6,1,306,6,1,0,2,0,1,23,17,2009,40220
10,0,400,8,0,0,2,0,1,15,10,2774,160829
10,0,400,8,0,0,2,0,0,15,10,2774,140615
10,0,400,8,1,0,2,0,0,15,10,2774,150694
10,0,400,8,1,0,2,0,1,15,10,2774,170829
10,0,400,8,0,0,2,0,1,15,10,2774,165986
10,0,400,8,1,0,2,0,0,15,10,2774,154090
10,0,400,8,0,0,2,0,0,15,10,2774,143860
10,0,400,8,1,0,2,0,1,15,10,2774,176287
10,0,400,8,1,0,2,0,0,15,10,2774,157767
10,0,425,8,1,0,2,0,0,15,10,2774,187124
10,0,400,8,0,0,2,0,0,15,10,2774,147332
10,0,400,8,0,0,2,0,1,15,10,2774,169900
10,0,400,8,1,0,2,0,1,15,10,2774,180408
6,0,350,6,1,0,2,0,0,26,19,2009,46790
6,0,332,6,0,0,2,0,1,24,17,2009,48100
6,0,332,6,0,0,2,0,0,26,18,2009,29990
6,0,332,6,1,0,2,0,1,25,18,2009,41820
6,0,332,6,1,0,2,0,0,26,19,2009,31290
6,0,332,6,1,0,2,0,0,26,19,2009,34870
6,0,332,6,0,0,2,0,0,26,18,2009,33570
6,0,332,6,1,0,2,0,1,25,18,2009,46570
6,0,332,6,0,0,2,0,0,26,18,2009,37970
6,0,332,6,0,0,2,0,0,26,18,2009,37070
6,0,332,6,1,0,2,0,1,25,18,2009,49400
6,0,332,6,0,0,2,0,1,24,17,2009,45270
6,0,332,6,1,0,2,0,0,26,19,2009,39270
6,0,350,6,0,0,2,0,0,26,18,2009,45490
6,0,350,6,0,0,2,0,0,26,18,2009,41990
6,0,332,6,1,0,2,0,0,26,19,2009,38370
6,0,350,6,1,0,2,0,0,26,19,2009,43290
6,0,332,6,1,0,2,0,1,25,18,2009,41820
6,0,332,6,0,0,2,0,1,24,17,2009,48100
6,0,350,6,1,0,2,0,0,26,19,2009,43290
6,0,332,6,1,0,2,0,0,26,19,2009,39270
6,0,332,6,1,0,2,0,0,26,19,2009,34870
6,0,350,6,0,0,2,0,0,26,18,2009,41990
6,0,332,6,1,0,2,0,0,26,19,2009,38370
6,0,332,6,0,0,2,0,1,24,17,2009,45270
6,0,350,6,0,0,2,0,0,26,18,2009,45490
6,0,332,6,0,0,2,0,0,26,18,2009,29990
6,0,332,6,1,0,2,0,1,25,18,2009,46570
6,0,350,6,1,0,2,0,0,26,19,2009,46790
6,0,332,6,1,0,2,0,1,25,18,2009,49400
6,0,332,6,0,0,2,0,0,26,18,2009,37070
6,0,332,6,1,0,2,0,0,26,19,2009,31290
6,0,332,6,0,0,2,0,0,26,18,2009,37970
6,0,332,6,0,0,2,0,0,26,18,2009,33570
6,0,332,6,0,0,2,0,0,26,18,2009,37970
6,0,332,6,1,0,2,0,0,26,19,2009,38370
6,0,332,6,1,0,2,0,0,26,19,2009,34870
6,0,332,6,0,0,2,0,0,26,18,2009,29990
6,0,350,6,0,0,2,0,0,26,18,2009,45490
6,0,350,6,0,0,2,0,0,26,18,2009,41990
6,0,332,6,0,0,2,0,1,24,17,2009,45270
6,0,332,6,0,0,2,0,0,26,18,2009,33570
6,0,332,6,0,0,2,0,1,24,17,2009,48100
6,0,332,6,1,0,2,0,0,26,19,2009,39270
6,0,332,6,1,0,2,0,1,25,18,2009,46570
6,0,332,6,1,0,2,0,1,25,18,2009,49400
6,0,332,6,0,0,2,0,0,26,18,2009,37070
6,0,332,6,1,0,2,0,1,25,18,2009,41820
6,0,350,6,1,0,2,0,0,26,19,2009,46790
6,0,350,6,1,0,2,0,0,26,19,2009,43290
6,0,332,6,1,0,2,0,0,26,19,2009,31290
8,1,184,4,0,1,4,0,2,37,25,586,25045
8,1,184,4,1,1,4,0,2,39,28,586,26095
8,1,155,4,1,1,4,0,2,41,30,586,23795
8,1,155,4,0,1,4,0,2,41,29,586,19595
8,1,155,4,0,1,4,0,2,41,29,586,18445
8,1,184,4,0,1,4,0,2,37,25,586,23845
8,1,184,4,1,1,4,0,4,37,27,586,25395
8,1,184,4,1,1,4,0,2,39,28,586,24895
8,1,184,4,0,1,4,0,4,35,26,586,25545
8,1,155,4,1,1,4,0,4,40,30,586,24295
8,1,155,4,1,1,4,0,2,41,30,586,19495
8,1,155,4,0,1,4,0,4,40,29,586,20095
8,1,155,4,1,1,4,0,4,40,30,586,19995
8,1,155,4,1,1,4,0,4,40,30,586,21145
8,1,155,4,0,1,4,0,4,40,29,586,23245
8,1,155,4,0,1,4,0,2,41,29,586,16945
8,1,184,4,0,1,4,0,4,35,26,586,24345
8,1,155,4,1,1,4,0,2,41,30,586,20645
8,1,155,4,0,1,4,0,4,40,29,586,18945
8,1,184,4,1,1,4,0,4,37,27,586,26595
8,1,155,4,0,1,4,0,2,41,29,586,22745
8,1,155,4,1,1,4,0,2,41,30,586,17995
8,1,155,4,0,1,4,0,2,41,29,586,22545
8,1,155,4,1,1,4,0,2,41,30,586,21095
8,1,184,4,1,1,4,0,4,37,27,586,25495
8,1,155,4,0,1,4,0,4,40,29,586,20745
8,1,155,4,1,1,4,0,4,40,30,586,24295
8,1,155,4,1,1,4,0,2,41,30,586,23595
8,1,155,4,1,1,4,0,4,40,30,586,21795
8,1,155,4,0,1,4,0,2,41,29,586,17845
8,1,184,4,1,1,4,0,4,37,27,586,26495
8,1,184,4,0,1,4,0,2,37,25,586,24745
8,1,155,4,1,1,4,0,2,41,30,586,18895
8,1,155,4,1,1,4,0,4,40,30,586,19595
8,1,155,4,0,1,4,0,4,40,29,586,23245
8,1,155,4,0,1,4,0,4,40,29,586,18545
8,1,184,4,1,1,4,0,2,39,28,586,25795
8,1,155,4,0,1,4,0,2,41,29,586,20045
8,1,184,4,0,1,4,0,4,35,26,586,25445
8,1,184,4,1,1,4,0,2,39,28,586,24795
8,1,155,4,1,1,4,1,2,37,28,586,21495
8,1,155,4,0,1,4,1,2,37,27,586,17845
8,1,184,4,0,1,4,1,2,34,25,586,23145
8,1,184,4,1,1,4,1,2,36,27,586,24195
8,1,155,4,1,1,4,0,4,37,28,586,20145
8,1,184,4,1,1,4,0,4,35,26,586,24945
8,1,184,4,0,1,4,0,4,33,25,586,23895
8,1,155,4,0,1,4,0,4,37,27,586,19095
8,1,184,4,1,1,4,0,4,35,26,586,23445
8,1,155,4,1,1,4,1,2,37,28,586,18895
8,1,155,4,1,1,4,0,4,37,28,586,22245
8,1,184,4,0,1,4,0,4,33,25,586,22395
8,1,155,4,0,1,4,1,2,37,27,586,20445
0,0,240,4,1,2,4,1,2,33,22,3916,42300
0,0,240,4,1,0,4,1,2,34,23,3916,40300
0,0,240,4,1,0,4,1,2,34,23,3916,40300
0,0,240,4,1,2,4,1,2,33,22,3916,42300
0,0,300,6,1,0,4,1,2,32,21,3916,45800
0,0,300,6,1,2,4,1,2,31,20,3916,47800
0,0,240,4,1,2,4,1,2,34,22,3916,43650
0,0,300,6,1,2,4,1,2,30,20,3916,49950
0,0,300,6,1,0,4,1,2,31,20,3916,47950
0,0,240,4,1,0,4,1,2,34,23,3916,41650
0,0,320,6,1,0,4,1,2,32,21,3916,48300
0,0,320,6,1,2,4,1,2,31,21,3916,50300
0,0,248,4,1,2,4,1,2,33,23,3916,43950
0,0,248,4,1,0,4,1,2,34,23,3916,41950
0,0,300,6,1,2,2,1,1,29,20,3916,56900
0,0,300,6,1,0,2,1,0,32,21,3916,46250
0,0,240,4,1,2,2,1,1,33,21,3916,50750
0,0,240,4,1,2,2,1,0,33,22,3916,42750
0,0,240,4,1,0,2,1,1,34,23,3916,48750
0,0,300,6,1,2,2,1,0,30,20,3916,48250
0,0,240,4,1,2,2,1,0,33,22,3916,42750
0,0,240,4,1,2,2,1,1,33,21,3916,50750
0,0,240,4,1,0,2,1,0,35,23,3916,40750
0,0,300,6,1,0,2,1,1,31,20,3916,54900
0,0,240,4,1,0,2,1,1,34,23,3916,48750
0,0,240,4,1,0,2,1,0,35,23,3916,40750
0,0,240,4,1,2,2,1,1,33,21,3916,52000
0,0,240,4,1,0,2,1,1,34,23,3916,50000
0,0,240,4,0,0,2,1,0,34,22,3916,41850
0,0,300,6,1,2,2,1,0,30,20,3916,50150
0,0,240,4,1,0,2,1,0,35,23,3916,41850
0,0,300,6,1,2,2,1,1,29,20,3916,58950
0,0,240,4,1,2,2,1,0,34,22,3916,43850
0,0,300,6,1,0,2,1,0,31,20,3916,48150
0,0,300,6,1,0,2,1,1,31,20,3916,56950
0,0,248,4,1,0,2,1,1,34,23,3916,50300
0,0,248,4,1,2,2,1,1,32,22,3916,52300
0,0,320,6,1,2,2,1,0,31,21,3916,50500
0,0,248,4,1,2,2,1,0,33,23,3916,44150
0,0,248,4,1,0,2,1,0,34,23,3916,42150
0,0,320,6,1,2,2,1,1,30,20,3916,59300
0,0,320,6,1,0,2,1,1,29,21,3916,57300
0,0,320,6,1,0,2,1,0,32,21,3916,48500
4,1,268,8,1,0,4,1,2,20,15,617,2168
4,1,282,8,1,0,4,2,2,16,12,617,2497
4,1,275,8,1,0,4,1,2,22,16,617,2278
4,1,275,8,1,0,4,2,2,17,13,617,2650
4,1,201,8,1,0,4,2,2,17,14,617,2000
4,1,201,8,1,0,4,2,2,17,14,617,2186
10,0,442,12,1,0,2,0,0,14,9,2774,223970
10,0,442,12,0,0,2,0,0,15,9,2774,219775
10,0,442,12,1,0,2,0,0,14,9,2774,228625
10,0,442,12,0,0,2,0,0,15,9,2774,224585
10,0,442,12,1,0,2,0,0,14,9,2774,228625
10,0,442,12,0,0,2,0,0,15,9,2774,224585
10,0,562,8,1,0,2,0,1,17,13,2774,257412
10,0,562,8,1,0,2,0,0,17,13,2774,233509
10,0,562,8,1,0,2,0,0,17,13,2774,233509
10,0,597,8,1,0,2,0,0,17,13,2774,288000
10,0,562,8,1,0,2,0,1,17,13,2774,257412
10,0,562,8,1,0,2,0,0,17,13,2774,239340
10,0,562,8,1,0,2,0,1,17,13,2774,263553
10,0,597,8,1,0,2,0,0,17,13,2774,291744
12,0,237,4,1,0,2,0,1,34,24,113,63900
12,0,237,4,1,0,2,0,0,34,24,113,68400
12,0,237,4,1,0,2,0,0,34,24,113,53900
12,0,237,4,1,0,2,0,0,34,24,113,55900
12,0,237,4,1,0,2,0,1,34,24,113,65900
11,1,270,6,1,0,4,1,6,23,17,2031,41365
11,1,270,6,1,0,4,1,6,23,17,2031,35740
11,1,270,6,1,3,4,1,6,22,17,2031,37615
11,1,270,6,1,3,4,1,6,22,17,2031,34695
11,1,270,6,1,3,4,1,6,22,17,2031,35725
11,1,270,6,1,3,4,1,6,22,17,2031,43400
11,1,270,6,1,0,4,1,6,23,17,2031,32820
11,1,270,6,1,3,4,1,6,22,17,2031,38645
11,1,270,6,1,3,4,1,6,21,17,2031,37825
11,1,270,6,1,3,4,1,6,21,17,2031,43620
11,1,270,6,1,3,4,1,6,21,17,2031,36115
11,1,270,6,1,0,4,1,6,22,17,2031,35950
11,1,270,6,1,0,4,1,6,22,17,2031,33210
11,1,270,6,1,3,4,1,6,21,17,2031,38855
11,1,270,6,1,0,4,1,6,22,17,2031,41585
11,1,270,6,1,3,4,1,6,21,17,2031,35085
11,1,270,6,1,3,4,1,6,21,17,2031,41310
11,1,270,6,1,0,4,1,6,22,17,2031,36690
11,1,270,6,1,3,4,1,6,21,17,2031,44360
